,log_id,results
0,1,"[{u'score': 0.999886155128, u'name': u'qc'}, {u'score': 0.000110376044177, u'name': u'qincai'}, {u'score': 3.417195785e-06, u'name': u'jmc'}]"
1,1,"[{u'score': 0.998934805393, u'name': u'qc'}, {u'score': 0.000872054020874, u'name': u'qincai'}, {u'score': 0.000193103958736, u'name': u'jmc'}]"
2,1,"[{u'score': 0.999884963036, u'name': u'qc'}, {u'score': 7.67753372202e-05, u'name': u'qincai'}, {u'score': 3.83137667086e-05, u'name': u'jmc'}]"
3,1,"[{u'score': 0.998869478703, u'name': u'qc'}, {u'score': 0.000918431032915, u'name': u'qincai'}, {u'score': 0.000212086728425, u'name': u'jmc'}]"
4,1,"[{u'score': 0.999883413315, u'name': u'qc'}, {u'score': 9.67597225099e-05, u'name': u'qincai'}, {u'score': 1.97950357688e-05, u'name': u'jmc'}]"
5,1,"[{u'score': 0.999775588512, u'name': u'qc'}, {u'score': 0.000145444835653, u'name': u'qincai'}, {u'score': 7.90717094787e-05, u'name': u'jmc'}]"
6,1,"[{u'score': 0.998959302902, u'name': u'qc'}, {u'score': 0.00100778124761, u'name': u'qincai'}, {u'score': 3.28283640556e-05, u'name': u'jmc'}]"
7,1,"[{u'score': 0.99999332428, u'name': u'qc'}, {u'score': 5.78737035539e-06, u'name': u'qincai'}, {u'score': 8.44268242872e-07, u'name': u'jmc'}]"
8,1,"[{u'score': 0.999582111835, u'name': u'qc'}, {u'score': 0.000380222219974, u'name': u'qincai'}, {u'score': 3.76639218302e-05, u'name': u'jmc'}]"
9,1,"[{u'score': 0.999882221222, u'name': u'qc'}, {u'score': 9.71410918282e-05, u'name': u'qincai'}, {u'score': 2.06524764508e-05, u'name': u'jmc'}]"
10,1,"[{u'score': 0.999965667725, u'name': u'qc'}, {u'score': 2.99529692711e-05, u'name': u'qincai'}, {u'score': 4.3913260015e-06, u'name': u'jmc'}]"
11,1,"[{u'score': 0.999990344048, u'name': u'qc'}, {u'score': 9.68648510025e-06, u'name': u'qincai'}, {u'score': 2.22525393667e-08, u'name': u'jmc'}]"
12,1,"[{u'score': 0.999663949013, u'name': u'qc'}, {u'score': 0.000333175528795, u'name': u'qincai'}, {u'score': 2.89204649562e-06, u'name': u'jmc'}]"
13,1,"[{u'score': 0.999986052513, u'name': u'qc'}, {u'score': 1.299818814e-05, u'name': u'qincai'}, {u'score': 9.43286067923e-07, u'name': u'jmc'}]"
14,1,"[{u'score': 0.999920487404, u'name': u'qc'}, {u'score': 7.63905263739e-05, u'name': u'qincai'}, {u'score': 3.1526890325e-06, u'name': u'jmc'}]"
15,1,"[{u'score': 0.999886393547, u'name': u'qc'}, {u'score': 0.000106575069367, u'name': u'qincai'}, {u'score': 6.98438952895e-06, u'name': u'jmc'}]"
16,1,"[{u'score': 0.999980688095, u'name': u'qc'}, {u'score': 1.70539606188e-05, u'name': u'qincai'}, {u'score': 2.29766305893e-06, u'name': u'jmc'}]"
17,1,"[{u'score': 0.99998986721, u'name': u'qc'}, {u'score': 7.64689048083e-06, u'name': u'qincai'}, {u'score': 2.48744709097e-06, u'name': u'jmc'}]"
18,1,"[{u'score': 0.999985694885, u'name': u'qc'}, {u'score': 1.36760900205e-05, u'name': u'qincai'}, {u'score': 6.44989938792e-07, u'name': u'jmc'}]"
19,1,"[{u'score': 0.999906539917, u'name': u'qc'}, {u'score': 8.57848208398e-05, u'name': u'qincai'}, {u'score': 7.59044769438e-06, u'name': u'jmc'}]"
20,1,"[{u'score': 0.99989426136, u'name': u'qc'}, {u'score': 0.00010196094081, u'name': u'qincai'}, {u'score': 3.75579975298e-06, u'name': u'jmc'}]"
21,1,"[{u'score': 0.999550044537, u'name': u'qc'}, {u'score': 0.000438293587649, u'name': u'qincai'}, {u'score': 1.17138670248e-05, u'name': u'jmc'}]"
22,1,"[{u'score': 0.999961495399, u'name': u'qc'}, {u'score': 3.82180915039e-05, u'name': u'qincai'}, {u'score': 2.65705040192e-07, u'name': u'jmc'}]"
23,1,"[{u'score': 0.999908447266, u'name': u'qc'}, {u'score': 8.99969381862e-05, u'name': u'qincai'}, {u'score': 1.555004701e-06, u'name': u'jmc'}]"
24,1,"[{u'score': 0.999945998192, u'name': u'qc'}, {u'score': 5.22213413205e-05, u'name': u'qincai'}, {u'score': 1.73966577677e-06, u'name': u'jmc'}]"
25,1,"[{u'score': 0.999838590622, u'name': u'qc'}, {u'score': 0.00015686613915, u'name': u'qincai'}, {u'score': 4.47369302492e-06, u'name': u'jmc'}]"
26,1,"[{u'score': 0.999862313271, u'name': u'qc'}, {u'score': 0.000135381764267, u'name': u'qincai'}, {u'score': 2.28650583267e-06, u'name': u'jmc'}]"
27,1,"[{u'score': 0.999986410141, u'name': u'qc'}, {u'score': 1.31424967549e-05, u'name': u'qincai'}, {u'score': 4.46646083674e-07, u'name': u'jmc'}]"
28,1,"[{u'score': 0.999884605408, u'name': u'qc'}, {u'score': 0.000113927155326, u'name': u'qincai'}, {u'score': 1.44183275097e-06, u'name': u'jmc'}]"
29,1,"[{u'score': 0.99997317791, u'name': u'qc'}, {u'score': 2.6640464057e-05, u'name': u'qincai'}, {u'score': 2.74171384262e-07, u'name': u'jmc'}]"
30,1,"[{u'score': 0.999985337257, u'name': u'qc'}, {u'score': 1.37994074976e-05, u'name': u'qincai'}, {u'score': 8.78251455561e-07, u'name': u'jmc'}]"
31,1,"[{u'score': 0.999990463257, u'name': u'qc'}, {u'score': 8.85328699951e-06, u'name': u'qincai'}, {u'score': 6.82720781242e-07, u'name': u'jmc'}]"
32,1,"[{u'score': 0.99988424778, u'name': u'qc'}, {u'score': 6.54927571304e-05, u'name': u'jmc'}, {u'score': 5.02457442053e-05, u'name': u'qincai'}]"
33,1,"[{u'score': 0.999982357025, u'name': u'qc'}, {u'score': 1.2002229596e-05, u'name': u'jmc'}, {u'score': 5.62177092434e-06, u'name': u'qincai'}]"
34,1,"[{u'score': 0.999956846237, u'name': u'qc'}, {u'score': 2.2892783818e-05, u'name': u'qincai'}, {u'score': 2.02077444555e-05, u'name': u'jmc'}]"
35,1,"[{u'score': 0.999965906143, u'name': u'qc'}, {u'score': 1.83949123311e-05, u'name': u'jmc'}, {u'score': 1.56969836098e-05, u'name': u'qincai'}]"
36,1,"[{u'score': 0.999770820141, u'name': u'qc'}, {u'score': 0.000129071966512, u'name': u'jmc'}, {u'score': 0.000100153047242, u'name': u'qincai'}]"
37,1,"[{u'score': 0.999528050423, u'name': u'qc'}, {u'score': 0.000281974294921, u'name': u'qincai'}, {u'score': 0.000190046615899, u'name': u'jmc'}]"
38,1,"[{u'score': 0.999973654747, u'name': u'qc'}, {u'score': 1.61086463777e-05, u'name': u'jmc'}, {u'score': 1.02030071503e-05, u'name': u'qincai'}]"
39,1,"[{u'score': 0.9999781847, u'name': u'qc'}, {u'score': 1.4463826119e-05, u'name': u'jmc'}, {u'score': 7.43729924579e-06, u'name': u'qincai'}]"
40,1,"[{u'score': 0.999997019768, u'name': u'qc'}, {u'score': 1.73977764462e-06, u'name': u'qincai'}, {u'score': 1.21904793104e-06, u'name': u'jmc'}]"
41,1,"[{u'score': 0.999993920326, u'name': u'qc'}, {u'score': 5.00728401676e-06, u'name': u'qincai'}, {u'score': 1.02256524315e-06, u'name': u'jmc'}]"
42,1,"[{u'score': 0.999967098236, u'name': u'qc'}, {u'score': 2.20514084504e-05, u'name': u'qincai'}, {u'score': 1.08830372483e-05, u'name': u'jmc'}]"
43,1,"[{u'score': 0.999940156937, u'name': u'qc'}, {u'score': 3.81547106372e-05, u'name': u'qincai'}, {u'score': 2.1635532903e-05, u'name': u'jmc'}]"
44,1,"[{u'score': 0.999974131584, u'name': u'qc'}, {u'score': 2.32101592701e-05, u'name': u'qincai'}, {u'score': 2.59449461737e-06, u'name': u'jmc'}]"
45,1,"[{u'score': 0.999993801117, u'name': u'qc'}, {u'score': 5.34793935003e-06, u'name': u'qincai'}, {u'score': 8.42224380904e-07, u'name': u'jmc'}]"
46,1,"[{u'score': 0.999969244003, u'name': u'qc'}, {u'score': 1.98077650566e-05, u'name': u'jmc'}, {u'score': 1.09599477582e-05, u'name': u'qincai'}]"
