,log_id,results
0,1,"[{u'score': 0.9990478158, u'name': u'qincai'}, {u'score': 0.000566139933653, u'name': u'jmc'}, {u'score': 0.00038598998799, u'name': u'qc'}]"
1,1,"[{u'score': 0.999607622623, u'name': u'qincai'}, {u'score': 0.000228558579693, u'name': u'qc'}, {u'score': 0.000163880657055, u'name': u'jmc'}]"
2,1,"[{u'score': 0.999970555305, u'name': u'qincai'}, {u'score': 2.24515042646e-05, u'name': u'qc'}, {u'score': 6.98709618518e-06, u'name': u'jmc'}]"
3,1,"[{u'score': 0.999994754791, u'name': u'qincai'}, {u'score': 4.05148466598e-06, u'name': u'qc'}, {u'score': 1.1446213648e-06, u'name': u'jmc'}]"
4,1,"[{u'score': 0.999961018562, u'name': u'qincai'}, {u'score': 3.27987945639e-05, u'name': u'qc'}, {u'score': 6.20056925982e-06, u'name': u'jmc'}]"
5,1,"[{u'score': 0.999919891357, u'name': u'qincai'}, {u'score': 6.13182346569e-05, u'name': u'qc'}, {u'score': 1.87885980267e-05, u'name': u'jmc'}]"
6,1,"[{u'score': 0.999932765961, u'name': u'qincai'}, {u'score': 5.18582128279e-05, u'name': u'qc'}, {u'score': 1.53736182256e-05, u'name': u'jmc'}]"
7,1,"[{u'score': 0.999988079071, u'name': u'qincai'}, {u'score': 1.07730211312e-05, u'name': u'qc'}, {u'score': 1.1903836139e-06, u'name': u'jmc'}]"
8,1,"[{u'score': 0.9999781847, u'name': u'qincai'}, {u'score': 1.67078997038e-05, u'name': u'qc'}, {u'score': 5.15558394909e-06, u'name': u'jmc'}]"
9,1,"[{u'score': 0.999982714653, u'name': u'qincai'}, {u'score': 1.13372807391e-05, u'name': u'qc'}, {u'score': 5.98901624471e-06, u'name': u'jmc'}]"
10,1,"[{u'score': 0.999972581863, u'name': u'qincai'}, {u'score': 2.11009773921e-05, u'name': u'qc'}, {u'score': 6.32417459201e-06, u'name': u'jmc'}]"
11,1,"[{u'score': 0.999927520752, u'name': u'qincai'}, {u'score': 5.58789870411e-05, u'name': u'qc'}, {u'score': 1.65521723829e-05, u'name': u'jmc'}]"
12,1,"[{u'score': 0.999949097633, u'name': u'qincai'}, {u'score': 3.57611388608e-05, u'name': u'qc'}, {u'score': 1.51139120135e-05, u'name': u'jmc'}]"
13,1,"[{u'score': 0.999931454659, u'name': u'qincai'}, {u'score': 4.2548377678e-05, u'name': u'qc'}, {u'score': 2.59791086137e-05, u'name': u'jmc'}]"
14,1,"[{u'score': 0.999985218048, u'name': u'qincai'}, {u'score': 9.02856118046e-06, u'name': u'qc'}, {u'score': 5.6952740124e-06, u'name': u'jmc'}]"
15,1,"[{u'score': 0.999970436096, u'name': u'qincai'}, {u'score': 2.10308571695e-05, u'name': u'qc'}, {u'score': 8.48219951877e-06, u'name': u'jmc'}]"
16,1,"[{u'score': 0.999997973442, u'name': u'qincai'}, {u'score': 1.66001564139e-06, u'name': u'qc'}, {u'score': 3.97336009428e-07, u'name': u'jmc'}]"
17,1,"[{u'score': 0.999985694885, u'name': u'qincai'}, {u'score': 1.24538719319e-05, u'name': u'qc'}, {u'score': 1.90607113382e-06, u'name': u'jmc'}]"
18,1,"[{u'score': 0.999980926514, u'name': u'qincai'}, {u'score': 1.6510284695e-05, u'name': u'qc'}, {u'score': 2.51881579061e-06, u'name': u'jmc'}]"
19,1,"[{u'score': 0.999989390373, u'name': u'qincai'}, {u'score': 8.93098967936e-06, u'name': u'qc'}, {u'score': 1.65559981724e-06, u'name': u'jmc'}]"
20,1,"[{u'score': 0.999995708466, u'name': u'qincai'}, {u'score': 3.55762040272e-06, u'name': u'qc'}, {u'score': 7.53098277073e-07, u'name': u'jmc'}]"
21,1,"[{u'score': 0.999982714653, u'name': u'qincai'}, {u'score': 1.48788158185e-05, u'name': u'qc'}, {u'score': 2.42749888457e-06, u'name': u'jmc'}]"
22,1,"[{u'score': 0.999997496605, u'name': u'qincai'}, {u'score': 1.52761265326e-06, u'name': u'qc'}, {u'score': 9.31377542202e-07, u'name': u'jmc'}]"
23,1,"[{u'score': 0.999973416328, u'name': u'qincai'}, {u'score': 1.57812773978e-05, u'name': u'qc'}, {u'score': 1.07622863652e-05, u'name': u'jmc'}]"
24,1,"[{u'score': 0.999980449677, u'name': u'qincai'}, {u'score': 1.39000503623e-05, u'name': u'qc'}, {u'score': 5.63825460631e-06, u'name': u'jmc'}]"
25,1,"[{u'score': 0.999987363815, u'name': u'qincai'}, {u'score': 9.59709905146e-06, u'name': u'qc'}, {u'score': 3.03161687043e-06, u'name': u'jmc'}]"
